FID,Project,StationName,TripCode,SampleDate_Local,SampleDate_UTC,Latitude,Longitude,SecchiDepth_m,trip_code,geom,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umoL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId
combined_bgc_data.fid-56e85a65_181a2fe105e_-201e,NRS,Rottnest Island,ROT20091026,2009-10-26,2009-10-26,-32,115.4167,15,ROT20091026,POINT (115.41667 -32),0,ROT20091026_0,35.64,1,2050.45,1,2337.64,1,,9,0.06,1,0,1,,9,0.11,1,2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-201d,NRS,Rottnest Island,ROT20091026,2009-10-26,2009-10-26,-32,115.4167,15,ROT20091026,POINT (115.41667 -32),10,ROT20091026_10,35.631,1,,9,,9,,9,0.06,1,0,1,,9,0.11,1,2.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-201c,NRS,Rottnest Island,ROT20091026,2009-10-26,2009-10-26,-32,115.4167,15,ROT20091026,POINT (115.41667 -32),20,ROT20091026_20,35.611,1,2051.14,1,2335.26,1,,9,0.06,1,0,1,,9,0.11,1,2.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-201b,NRS,Rottnest Island,ROT20091026,2009-10-26,2009-10-26,-32,115.4167,15,ROT20091026,POINT (115.41667 -32),30,ROT20091026_30,35.605,1,,9,,9,,9,0.07,1,0,1,,9,0.11,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-201a,NRS,Rottnest Island,ROT20091026,2009-10-26,2009-10-26,-32,115.4167,15,ROT20091026,POINT (115.41667 -32),40,ROT20091026_40,35.6,1,2052.35,1,,9,,9,0.06,1,0,1,,9,0.11,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2019,NRS,Rottnest Island,ROT20091026,2009-10-26,2009-10-26,-32,115.4167,15,ROT20091026,POINT (115.41667 -32),48,ROT20091026_48,35.602,1,2054.37,1,2333.83,1,,9,0.07,1,0.1,1,,9,0.11,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2018,NRS,Rottnest Island,ROT20091026,2009-10-26,2009-10-26,-32,115.4167,15,ROT20091026,POINT (115.41667 -32),WC,ROT20091026_WC,,,,,,,,,,,,,,,,,,,0.4,0.2,0.6,1,22375.5,1,9397.5,1,15860.5,1,0.01,0.013,0,0,,,0.024,0,0.317,0.077,0,0.035,0.024,,0,0,0.012,0,0,0.317,0,0.077,0,0,0.036,0,0.067,0,0,0,0,0.01,0,0,0,0,0.022,0,0,0.008,0.013,2,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2017,NRS,Rottnest Island,ROT20091222,2009-12-22,2009-12-22,-32,115.4167,16.3,ROT20091222,POINT (115.41667 -32),0,ROT20091222_0,35.748,1,2043.8,1,2346.55,1,,9,0.04,1,0,1,,9,0.09,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2016,NRS,Rottnest Island,ROT20091222,2009-12-22,2009-12-22,-32,115.4167,16.3,ROT20091222,POINT (115.41667 -32),10,ROT20091222_10,35.743,1,,9,,9,,9,0.04,1,0,1,,9,0.08,1,1.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2015,NRS,Rottnest Island,ROT20091222,2009-12-22,2009-12-22,-32,115.4167,16.3,ROT20091222,POINT (115.41667 -32),20,ROT20091222_20,35.737,1,2042.53,1,2353.27,1,,9,0.04,1,0,1,,9,0.09,1,1.4,1,,,,,,,,,,,0.005,0.011,0,0,,,0.013,0,0.157,0.016,0,0.02,0.013,,0,0,0.017,0,0,0.157,0,0.016,0,0,0.031,0,0.04,0,0,0,0,0.002,0,0,0,0,0.004,0,0,0.003,0.025,1,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2014,NRS,Rottnest Island,ROT20091222,2009-12-22,2009-12-22,-32,115.4167,16.3,ROT20091222,POINT (115.41667 -32),30,ROT20091222_30,35.728,1,,9,,9,,9,0.06,1,0,1,,9,0.11,1,1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2013,NRS,Rottnest Island,ROT20091222,2009-12-22,2009-12-22,-32,115.4167,16.3,ROT20091222,POINT (115.41667 -32),40,ROT20091222_40,35.739,1,2050.77,1,2343.43,1,,9,0.08,1,0.2,1,,9,0.11,1,1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2012,NRS,Rottnest Island,ROT20091222,2009-12-22,2009-12-22,-32,115.4167,16.3,ROT20091222,POINT (115.41667 -32),47,ROT20091222_47,35.737,1,2049.07,1,2342.88,1,,9,0.07,1,0.2,1,,9,0.11,1,1.4,1,,,,,,,,,,,0.005,0.01,0,0,,,0.015,0,0.203,0.021,0.01,0.017,0.019,,0,0,0.012,0,0,0.203,0,0.021,0,0,0.064,0,0.041,0,0,0,0,0.002,0.005,0,0,0,0.006,0,0,0.002,0.014,1,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2011,NRS,Rottnest Island,ROT20091222,2009-12-22,2009-12-22,-32,115.4167,16.3,ROT20091222,POINT (115.41667 -32),WC,ROT20091222_WC,,,,,,,,,,,,,,,,,,,,,,,13477.7,1,16567.3,1,3913.3,1,0.008,0.011,0,0,,,0.014,0,0.209,0.019,0,0.026,0.019,,0,0,0.019,0,0,0.209,0,0.019,0,0,0.05,0,0.045,0,0,0,0,0.003,0.006,0,0,0,0.005,0,0,0.004,0.022,2,
combined_bgc_data.fid-56e85a65_181a2fe105e_-2010,NRS,Rottnest Island,ROT20100315,2010-03-15,2010-03-15,-32,115.4167,18.2,ROT20100315,POINT (115.41667 -32),0,ROT20100315_0,35.783,1,2043.56,1,2345.91,1,,9,0.02,1,0,1,,9,0.1,1,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-200f,NRS,Rottnest Island,ROT20100315,2010-03-15,2010-03-15,-32,115.4167,18.2,ROT20100315,POINT (115.41667 -32),10,ROT20100315_10,35.781,1,,9,,9,,9,0.06,1,0,1,,9,0.11,1,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-200e,NRS,Rottnest Island,ROT20100315,2010-03-15,2010-03-15,-32,115.4167,18.2,ROT20100315,POINT (115.41667 -32),20,ROT20100315_20,35.86,1,2050.44,1,2348.65,1,,9,0.05,1,0.1,1,,9,0.13,1,1.1,1,,,,,,,,,,,0.006,0.019,0,0,,,0.018,0,0.353,0.055,0.043,0,0.02,,0,0,0.024,0,0,0.353,0,0.055,0,0,0.094,0,0.061,0,0,0,0,0.006,0,0,0,0,0.017,0,0,0.006,0.021,1,
combined_bgc_data.fid-56e85a65_181a2fe105e_-200d,NRS,Rottnest Island,ROT20100315,2010-03-15,2010-03-15,-32,115.4167,18.2,ROT20100315,POINT (115.41667 -32),30,ROT20100315_30,35.866,1,,9,,9,,9,0.06,1,0.1,1,,9,0.13,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_bgc_data.fid-56e85a65_181a2fe105e_-200c,NRS,Rottnest Island,ROT20100315,2010-03-15,2010-03-15,-32,115.4167,18.2,ROT20100315,POINT (115.41667 -32),40,ROT20100315_40,35.868,1,2051.42,1,2347.26,1,,9,0.06,1,0.1,1,,9,0.13,1,1.1,1,,,,,,,,,,,0.004,0.013,0,0,,,0.017,0,0.334,0.044,0,0.06,0.03,,0,0,0.022,0,0,0.334,0,0.044,0,0,0.117,0,0.057,0,0,0,0,0.006,0.006,0,0,0,0.014,0,0,0.004,0.019,1,
combined_bgc_data.fid-56e85a65_181a2fe105e_-200b,NRS,Rottnest Island,ROT20100315,2010-03-15,2010-03-15,-32,115.4167,18.2,ROT20100315,POINT (115.41667 -32),49,ROT20100315_49,35.872,1,2052.23,1,2347.21,1,,9,0.07,1,0.1,1,,9,0.14,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
